id,label,length
6fdd9e0f75bc9b19f6d5da306b1eee06c90baa9e,1,149
b4dc373817e9513a6709573f43b83fda6bf4dae9,0,671
e278d6b74a60ef28adaf6bf36d70076a6efcac71,1,120
917957dff006af3e0b9831e5da51aaa604448db3,0,410
6655844ede85b4472943e9717977d21406955700,0,53
77e8378f561ad658df9520c5816523fa386a44ce,0,366
ab20dc5d6e3a517e25aa0a9b38dd53bebd9e5e47,1,171
06699dd6636a16693701b20176e020b9a3de1238,0,602
3f0a72586bc307d4dbc2d2104b81e081b77b91cb,0,369
448c5c26942d8ee02bffc8cb15d86906b0e3f23b,0,317
53e9617539486c203200cbc46feb3ac50d7ddcfa,1,132
b14079355e2a0a8fb5b73dca3bbf2bf1ee6afd04,0,67
2471d424b688083af1e8ec78ecc922eb3c764fd5,0,706
df40fb555e7d03f88acc98122529a3bbd0d1b370,0,627
b79860bf8c2457e08a158ffa59bf44e6bf1d57d3,0,166
5ea98f152d01abc7b06e5917d5e2dca1f2fdbb02,0,137
6965b7b67a71473e14b97709943cf9d909635190,0,682
9c0790b808ee45470a9a19d1f216461ac0a3e6f6,1,905
bf1995116387cb30f328ca2ae9e72313d412bc7e,0,157
b56aa9327ca2b9468d8eb9023ca9ef1f946ef67d,0,103
7ec7d319275d1d85c819a3403829740f410e4a14,1,126
cb58e3a239d60ff1f696d9f8fcb4631042ab6f80,0,118
2cc23aa7403be5bfc3366024a66b2ac9c4b05e36,0,218
34be33983f84b9c1c7282c9195d5bb47d187e170,0,169
6fa2c0dfb81b1bceb4244c4a1e384689eb8122d3,1,292
d2a3ccb437133eaa5fd0c80c4e14cbf137cb4dff,1,382
9e310c4e17a0a3bd66e1d459ac3ef69e0dbcfb8a,0,257
6349b1ad42702598569e22422eaabe6ed7dc3f5a,0,505
a6caa943706cd8e4e6acd5f14a4c40bcf9826291,0,142
ffa14531c2fab26fe97b9c0d47275f2ffa761b18,1,292
98364e763a71e10be609aafddb6e9ae6b7121147,0,640
2a968571532611a5aa64c2ada5c8294e430afff1,0,182
10236a21893d9259836e9eb54444e3f23fea8509,1,261
7273641911e93014ed49021691e0c073a2e1b6d4,1,150
aa828e5e8b18e31496ca360e073c6ace37cf7ef6,0,239
0194211fb3f771acf260827b76fdeb9b367058dc,0,152
6de0e349d4aadae35a5e3eaf91ad86ca05fce97d,1,639
1488f8fbc56da9793c31c8a440314aa438eda92b,0,501
08d518bbe761631ef4a816b066fd092d18baffae,0,476
6ff33a2cb00ceca2c04201457feb81f1d7c0644f,0,286
9f07dd11be8cfdd72a5296acf526c67c320ec0e5,0,585
ae7e5094acaea0a3a22468ffddc69c6062cddad4,1,299
db21a5e1e5e1a50870b729326ea9e7d7783ac469,1,146
96f4cf57acccc53c4c2a806c845a7c00e80398ff,0,355
fd295a241f6c3bb8742bb3c7210912cd6e731d5b,0,107
e97a5861b44f71f808a739c2e87e5d6101a568d6,0,182
1d65b8c01bf8c030e0e18eb6378f122e9e40db04,0,76
d8fc735f95fae848b8bf0b2d59f36b8200c4c457,0,139
23497d02c1fa31ecbdc29e82b6a2b601cdd343cf,0,552
473102b5cb736801e3017829215fb8f0947b5cd7,1,113
483ad4fbaf783653b15a1e26963d92b51ef71233,0,244
7efc80cf4b1dc0e661650918e998bbc85a49a687,0,314
198322fa913d47d7d8b513e3351309536d77719f,0,115
ab5f2f5ec09d046440f00fcc13b7befbc1fed8c5,0,347
bdb0f497f1bdc8a755ef373a080258f3191a6f5f,1,426
34f20fc287ec7f964fbd61d395f34777df7fcc45,1,364
bed55bf5aab79de026d634b69e38f85caf1b5f7e,0,213
89a7922436bd29d2d905d6e392245773df107d1d,1,151
bf1ada54c658a9f525af4edce5365bfd7c566c11,1,306
7ea74a58d473af64f412cb1f264e39de6f9f3633,0,69
4d5d3520bf8d8834cc81f62cf6cc30ac614edfb7,1,398
